price,link,longitude,baths,date,contentLen,size,postDate,CraigID,area,title,coord,beds,updateDate,latitude,numPic,zipcode
2771,/see/apa/4755634234.html,-122.342338,2,10-Nov,3,1238,2014-11-10T16:08:35-0800,4755634234,,Lake Union & Cascade Mountain view at your fingertips!,"47.630255, -122.342338",2,2014-11-10T16:08:35-0800,47.630255,3,98109
2695,/see/apa/4717715575.html,-122.387094,2.5,10-Nov,23,1217,2014-10-16T12:34:18-0700,4717715575, (Seattle/Ballard),Awesome Ballard Townhouse,"47.674548, -122.387094",3,2014-11-10T23:13:26-0800,47.674548,9,98107
1995,/see/apa/4751712774.html,-122.379627,1,10-Nov,3,1200,2014-11-08T05:13:48-0800,4751712774, (8720 18th Ave NW),Crown Hill - Charming home with garage,"47.691884, -122.379627",2,2014-11-10T12:28:49-0800,47.691884,11,98117
1850,/see/apa/4755411312.html,-122.342119,2,10-Nov,25,1200,2014-11-10T13:42:20-0800,4755411312, (SEATTLE/DOWNTOWN/CAPITOL HILL/FIRST HILL),2 BEDROOM 2 BATH IN THE LAKE UNION AREA/WESTLAKE/AMAZON,"47.633528, -122.342119",2,2014-11-10T13:42:20-0800,47.633528,0,98109
2650,/see/apa/4725185197.html,-122.3305,2.5,10-Nov,24,1186,2014-10-21T11:32:00-0700,4725185197,,"Stunning Views 2bdrm,2bath in Cosmopolitan","47.611400, -122.330500",2,2014-11-10T13:49:32-0800,47.6114,12,98101
2795,/see/apa/4738715721.html,-122.358238,2,10-Nov,1,1180,2014-10-30T10:12:18-0700,4738715721, (Seattle/Belltown),Gorgeous Sound Views from Spacious 2BR Condo in Landmark Building!!,"47.639172, -122.358238",2,2014-11-10T11:02:08-0800,47.639172,19,98119
2199,/see/apa/4755535729.html,-122.365138,2,10-Nov,10,1176,2014-11-10T14:59:18-0800,4755535729, (WEST SEATTLE),COME IN TODAY!! AMAZING 2 BEDROOM & 2 BATHROOM!!!,"47.568220, -122.365138",2,2014-11-10T14:59:18-0800,47.56822,7,98126
2773,/see/apa/4755739107.html,-122.357829,2,10-Nov,4,1165,2014-11-10T17:28:32-0800,4755739107, (Lower Queen Anne),Penthouse with a view and SPECIALS too!!! ,"47.620097, -122.357829",2,2014-11-10T17:28:32-0800,47.620097,5,98121
2595,/see/apa/4751258631.html,-122.376448,2,10-Nov,29,1161,2014-11-07T16:22:08-0800,4751258631, (Ballard),Lease~Large 2 bed 2 bath Condo~Steel & Concrete~Gas cooking,"47.668620, -122.376448",2,2014-11-10T12:06:22-0800,47.66862,12,98107
3395,/see/apa/4755208280.html,-122.324009,2,10-Nov,5,1159,2014-11-10T11:49:46-0800,4755208280, (Captiol Hill),Gorgeous NEW Penthouses with MI Specials!!,"47.619775, -122.324009",2,2014-11-10T11:49:46-0800,47.619775,24,98102
1925,/see/apa/4755311754.html,-122.292537,2,10-Nov,18,1155,2014-11-10T12:44:54-0800,4755311754,,Park View in This Spaicous Two Bedroom ,"47.730077, -122.292537",2,2014-11-10T12:44:54-0800,47.730077,10,98125
1795,/see/apa/4755607535.html,-122.326537,2,10-Nov,16,1140,2014-11-10T15:49:11-0800,4755607535, (West Capitol Hill),Two Bedroom Two Bath,"47.624420, -122.326537",2,2014-11-10T15:49:11-0800,47.62442,0,98102
1980,/see/apa/4755622217.html,-122.384038,2,10-Nov,30,1133,2014-11-10T15:59:50-0800,4755622217, (West Seattle Junction),COMING SOON!Lots of closet space! Balcony & View! ,"47.561120, -122.384038",2,2014-11-10T15:59:50-0800,47.56112,24,98126
1550,/see/apa/4745057727.html,-122.365894,2,10-Nov,55,1125,2014-11-03T17:42:21-0800,4745057727," (Crown Hill, Seattle)","2 bed, 2 bath Seattle townhome for rent","47.699278, -122.365894",2,2014-11-10T13:59:05-0800,47.699278,12,98117
1740,/see/apa/4755593745.html,-122.346185,2,10-Nov,16,1123,2014-11-10T15:39:18-0800,4755593745," (Shoreline, Edmonds, North Seattle)",2 Bed 2 Bath Avail. for DECEMBER!! ONLY ONE LEFT!! HURRY IN,"47.775654, -122.346185",2,2014-11-10T15:39:18-0800,47.775654,8,98133
1800,/see/apa/4716553147.html,-122.316637,1,10-Nov,27,1120,2014-10-15T16:50:03-0700,4716553147," (Central, Capitol Hill, First Hill)","129 12th Ave #B, Seattle: 3 bed Unit in a Duplex","47.619334, -122.316637",3,2014-11-10T11:14:06-0800,47.619334,8,98102
2800,/see/apa/4755697782.html,-122.34272,2,10-Nov,29,1118,2014-11-10T16:56:16-0800,4755697782, (Belltown),You're Going To Love This~$1400 Off ~ See It Now!,"47.614582, -122.342720",2,2014-11-10T16:56:16-0800,47.614582,3,98121
2795,/see/apa/4755207517.html,-122.3763,2.5,10-Nov,28,1111,2014-11-10T11:49:23-0800,4755207517, (Ballard),Pets Welcome in This 2BR/2.5BA Loft with Spacious Walk-In Closets!,"47.670100, -122.376300",2,2014-11-10T11:49:23-0800,47.6701,5,98107
2970,/see/apa/4755646458.html,-122.331562,2,10-Nov,9,1107,2014-11-10T16:17:56-0800,4755646458, (Seattle),Amazing Two Bedroom Loft Still Available Come Stop By AMLI SLU!,"47.623116, -122.331562",2,2014-11-10T16:17:56-0800,47.623116,6,98101
2786,/see/apa/4755187315.html,-122.340523,2,10-Nov,26,1100,2014-11-10T11:39:03-0800,4755187315," (Downtown, Steps Away From Pike Place!)",Stunning & Spacious Two Bedroom | Incredible Views of Puget Sound,"47.611220, -122.340523",2,2014-11-10T11:39:03-0800,47.61122,15,98101
2700,/see/apa/4729050047.html,-122.38305,1.5,10-Nov,5,1100,2014-10-23T19:35:35-0700,4729050047, (West Seattle),"Best Penthouse Views, West Seattle util included","47.589161, -122.383050",2,2014-11-10T12:11:38-0800,47.589161,21,98116
2300,/see/apa/4755444903.html,-122.298796,1.5,10-Nov,18,1100,2014-11-10T14:02:20-0800,4755444903," (Central Area, Madrona, Madison)",Central Seattle Craftsman Paradise,"47.607031, -122.298796",2,2014-11-10T16:52:49-0800,47.607031,14,98122
2100,/see/apa/4716668712.html,-122.345438,2,10-Nov,9,1100,2014-10-15T18:24:03-0700,4716668712, (Wallingford),Large 2BD plus den with huge yard/patio - Free Rent thru 11/15!,"47.661134, -122.345438",2,2014-11-10T11:24:45-0800,47.661134,17,98103
1945,/see/apa/4755530166.html,-122.326537,1,10-Nov,60,1100,2014-11-10T14:55:45-0800,4755530166, (Capitol Hill),The RoyVue - Vintage Deluxe Floorplans in Capitol Hill ,"47.624534, -122.326537",2,2014-11-10T14:59:31-0800,47.624534,13,98102
1750,/see/apa/4745679283.html,-122.382855,1.5,10-Nov,1,1100,2014-11-04T08:02:59-0800,4745679283, (West Seattle),2 br/1 1/2 ba townhouse~ $1750,"47.548118, -122.382855",2,2014-11-10T19:59:11-0800,47.548118,13,98126
1500,/see/apa/4719680171.html,-122.263734,1,10-Nov,29,1100,2014-10-17T17:00:12-0700,4719680171, (Northeast Seattle),Spacious 1BR/1BA Loft Near Children's and UW Hospitals,"47.682119, -122.263734",1,2014-11-10T15:43:06-0800,47.682119,17,98115
1450,/see/apa/4750643915.html,-122.3015,2,10-Nov,5,1100,2014-11-07T10:11:32-0800,4750643915, (12040 28th AVE NE),"Lake City 2 Bedroom 2 Bathroom Apartment, Seattle","47.717000, -122.301500",2,2014-11-10T16:02:15-0800,47.717,11,98125
1390,/see/apa/4745057294.html,-122.365894,1,10-Nov,55,1100,2014-11-03T17:41:59-0800,4745057294," (Crown Hill, Seattle)","2 bed, 1 bath Seattle townhome for rent","47.699278, -122.365894",2,2014-11-10T13:59:00-0800,47.699278,12,98117
1350,/see/apa/4744617318.html,-122.362737,1,10-Nov,1,1100,2014-11-03T12:49:37-0800,4744617318, (West Seattle),2br live in/work commercial apartment,"47.555014, -122.362737",2,2014-11-10T11:58:43-0800,47.555014,12,98126
1075,/see/apa/4751034314.html,-122.328193,2,10-Nov,49,1100,2014-11-07T13:47:44-0800,4751034314, (first hill/capital hill),$1075 / 1100sft - looking for a room mate-2bd 2ba-1100sqft-Master bedr,"47.612456, -122.328193",2,2014-11-10T14:15:23-0800,47.612456,10,98101
5500,/see/apa/4755420955.html,-122.346518,2,10-Nov,24,1098,2014-11-10T13:48:04-0800,4755420955, (Belltown Seattle),Look no further than this beautiful penthouse in downtown!,"47.613266, -122.346518",2,2014-11-10T13:48:04-0800,47.613266,9,98121
2700,/see/apa/4741690333.html,-122.319937,1.5,10-Nov,42,1095,2014-11-01T12:28:25-0700,4741690333, (Capital Hill ),Luxury 1x1.25 + Den on the Penthouse! MASSIVE patio! Avail Dec 5th ,"47.617620, -122.319937",1,2014-11-10T15:50:27-0800,47.61762,20,98102
2699,/see/apa/4730430325.html,-122.319937,1.5,10-Nov,42,1094,2014-10-24T17:20:19-0700,4730430325, (Capital Hill ),Huge Penthouse 1x1.25 + Den on the Penthouse. MASSIVE patio! Nov 12th ,"47.617620, -122.319937",1,2014-11-10T15:48:31-0800,47.61762,17,98102
2400,/see/apa/4750041071.html,-122.306178,2,10-Nov,4,1090,2014-11-06T23:12:32-0800,4750041071, (Seattle),Spacious 2-Bedroom Condo Central District,"47.601432, -122.306178",2,2014-11-10T15:54:36-0800,47.601432,9,98122
1995,/see/apa/4712599048.html,-122.344922,2,10-Nov,28,1086,2014-10-13T10:13:09-0700,4712599048, (Queen Anne),"Cornell & Associates: 6th Ave *REMODELED! W/D, Gas FP, DECK, Parking!","47.630767, -122.344922",2,2014-11-10T11:54:29-0800,47.630767,16,98109
2938,/see/apa/4755621822.html,-122.338357,1,10-Nov,42,1078,2014-11-10T15:59:33-0800,4755621822, (South Lake Union),"Large, Penthouse Inspired 1BR with AMAZING Views! Tour Today","47.618965, -122.338357",1,2014-11-10T15:59:33-0800,47.618965,6,98121
3261,/see/apa/4755265143.html,-122.319787,2,10-Nov,18,1071,2014-11-10T12:19:33-0800,4755265143," (Capitol Hill, Seattle)",$1000 Gift Card Each (2 Roommates) + $1000 Off Move In Cost! WOW!!,"47.613120, -122.319787",2,2014-11-10T12:19:33-0800,47.61312,7,98101
2450,/see/apa/4749524187.html,-122.384038,2,10-Nov,22,1065,2014-11-06T14:23:09-0800,4749524187, (West Seattle),Now Pre-Leasing! Elan 41 - Brand New 2x2 Loft! 1 Month Free! ,"47.559320, -122.384038",2,2014-11-10T14:09:26-0800,47.55932,13,98126
1995,/see/apa/4729961813.html,-122.321,2,10-Nov,27,1060,2014-10-24T12:05:56-0700,4729961813, (Capitol Hill),Seattle,"47.630200, -122.321000",2,2014-11-11T15:35:02-0800,47.6302,18,98102
2165,/see/apa/4725408079.html,-122.321,1,10-Nov,6,1058,2014-10-21T13:30:55-0700,4725408079," (Capitol Hill, Seattle, WA)", MANAGERS SPECIAL!!! 1x1 Apt Available in Desired Capitol Hill!,"47.630200, -122.321000",1,2014-11-10T13:56:40-0800,47.6302,7,98102
1995,/see/apa/4755544475.html,-122.326537,1,10-Nov,60,1058,2014-11-10T15:05:08-0800,4755544475, (Capitol Hill),The RoyVue - Vintage Deluxe Floorplans ,"47.624534, -122.326537",2,2014-11-10T15:05:08-0800,47.624534,14,98102
1995,/see/apa/4749418684.html,-122.321,1,10-Nov,6,1058,2014-11-06T13:18:58-0800,4749418684," (Capitol Hill, Seattle, WA)",MANAGERS SPECIAL!! 1x1 Apt Available in Beautiful Capitol Hill!,"47.630200, -122.321000",1,2014-11-10T13:56:45-0800,47.6302,6,98102
1620,/see/apa/4755766871.html,-122.36027,2,10-Nov,34,1052,2014-11-10T17:51:19-0800,4755766871, (West Seattle),Santa Approved,"47.532512, -122.360270",2,2014-11-10T17:51:19-0800,47.532512,14,98106
3000,/see/apa/4755448775.html,-122.336901,2,10-Nov,13,1050,2014-11-10T14:04:42-0800,4755448775, (1730 N Northlake Way),Fully Furnished Wallingford Condo,"47.646920, -122.336901",2,2014-11-10T14:37:58-0800,47.64692,17,98109
2065,/see/apa/4749417214.html,-122.321,1,10-Nov,6,1050,2014-11-06T13:18:03-0800,4749417214," (Capitol Hill, Seattle, WA)",MANAGERS SPECIAL!! BREATHTAKING 1Bd/1Bth Apt in Capitol Hill!,"47.630200, -122.321000",1,2014-11-10T11:15:41-0800,47.6302,7,98102
1800,/see/apa/4751330958.html,-122.367778,1,10-Nov,20,1050,2014-11-07T17:24:37-0800,4751330958,,SPU/Queen Anne - Apartment,"47.651717, -122.367778",2,2014-11-10T10:49:35-0800,47.651717,10,98119
1750,/see/apa/4720692304.html,-122.386012,1,10-Nov,25,1050,2014-10-18T11:40:45-0700,4720692304," (Magnolia, Seattle)","Available!! Cozy Magnolia Spacious 2BR with view, fireplace","47.650711, -122.386012",2,2014-11-10T21:09:03-0800,47.650711,11,98199
1550,/see/apa/4749704746.html,-122.401085,1.5,10-Nov,30,1050,2014-11-06T16:30:51-0800,4749704746," (3651 34th Ave W, Seattle WA)",(1042) Two story apartment in Magnolia 4-Plex with private patio,"47.653825, -122.401085",2,2014-11-10T11:00:22-0800,47.653825,0,98199
2645,/see/apa/4755117501.html,-122.385437,2,10-Nov,42,1049,2014-11-10T11:03:05-0800,4755117501, (West Seattle),Beautiful and spacious two bedroom home with terrace and city view!,"47.562902, -122.385437",2,2014-11-10T11:03:05-0800,47.562902,6,98116
3030,/see/apa/4755452575.html,-122.315598,2,10-Nov,4,1045,2014-11-10T14:06:59-0800,4755452575,,"Bright East facing 2 bed, each bedroom with their own walk in closet","47.662483, -122.315598",2,2014-11-10T14:06:59-0800,47.662483,4,98105
2299,/see/apa/4736425614.html,-122.336901,2,10-Nov,28,1026,2014-10-28T18:58:05-0700,4736425614, (Wallingford),"View Condo on North end of Lake Union. Modern Building, Amenities, Etc","47.646920, -122.336901",2,2014-11-10T15:52:07-0800,47.64692,14,98109
2100,/see/apa/4755176556.html,-122.327937,1.5,10-Nov,51,1023,2014-11-10T11:33:35-0800,4755176556, (Seattle),Top Flr 2BR/1.5BA Condo w/Views! Rent incl Water/Garbage/Cable!,"47.624520, -122.327937",2,2014-11-10T11:33:35-0800,47.62452,5,98102
2660,/see/apa/4755786601.html,-122.385102,2,10-Nov,7,1022,2014-11-10T18:07:58-0800,4755786601, (Ballard/Seattle/Fremont/South Lake Union),✦ Gorgeous 2x2 Available for DECEMBER MOVE IN! AMAZING PRICE! ✦,"47.670811, -122.385102",2,2014-11-10T18:07:58-0800,47.670811,6,98107
2300,/see/apa/4755672321.html,-122.341669,2,10-Nov,25,1012,2014-11-10T16:37:10-0800,4755672321, (Lake Union),ONLY $99 to move in! HUGE 2 Bed/2 Bath..,"47.627353, -122.341669",2,2014-11-10T16:37:10-0800,47.627353,11,98109
1999,/see/apa/4745797567.html,-122.292093,1,10-Nov,8,1010,2014-11-04T09:04:54-0800,4745797567," (Leschi, Seattle)",View Home,"47.593320, -122.292093",2,2014-11-10T11:15:05-0800,47.59332,13,98144
2777,/see/apa/4755432370.html,-122.3875,2,10-Nov,16,1009,2014-11-10T13:54:47-0800,4755432370, (Ballard),$99 Look and Lease special! Come lease today AMLI Mark24!,"47.668589, -122.387500",2,2014-11-10T13:54:47-0800,47.668589,7,98107
2900,/see/apa/4755384742.html,-122.3426,2,10-Nov,47,1005,2014-11-10T13:26:57-0800,4755384742, (South Lake Union),"Convenient Location, Green Living, South Lake Location","47.627651, -122.342600",2,2014-11-10T13:26:57-0800,47.627651,14,98109
1750,/see/apa/4717750928.html,-122.343235,2,10-Nov,23,1001,2014-10-16T13:01:05-0700,4717750928, (Shoreline),"***Modern, Chic and Pet Friendly***","47.739208, -122.343235",2,2014-11-10T12:38:54-0800,47.739208,4,98133
2495,/see/apa/4744243853.html,-122.315537,2,10-Nov,8,1000,2014-11-03T09:37:50-0800,4744243853, (Capitol Hill),Nov Rent Free! - Remodeled 2BR 2BA w/2 PK spots in heart of Cap Hill!,"47.621451, -122.315537",2,2014-11-10T11:22:01-0800,47.621451,12,98102
1995,/see/apa/4750689849.html,-122.330464,2,10-Nov,8,1000,2014-11-07T10:35:31-0800,4750689849, (South Lake Union),Corner Two Bedroom/Two Bath Apartment Available - Excellent Location,"47.623712, -122.330464",2,2014-11-10T13:04:37-0800,47.623712,5,98101
1995,/see/apa/4744902877.html,-122.342338,1,10-Nov,6,1000,2014-11-03T15:44:19-0800,4744902877, (Queen Anne/ South Lake Union),Luxury Lake Union Condo ,"47.632420, -122.342338",2,2014-11-10T20:51:31-0800,47.63242,12,98109
1940,/see/apa/4740522342.html,-122.325538,2,10-Nov,7,1000,2014-10-31T13:47:55-0700,4740522342, (Greenlake),"Greenlake 2 br/2bath $1940 -- steps to PCC, Lucia","47.672120, -122.325538",2,2014-11-10T14:12:49-0800,47.67212,9,98103
1675,/see/apa/4755513018.html,-122.316155,2,10-Nov,46,1000,2014-11-10T14:44:33-0800,4755513018, (University District),Spacious 2 Bedroom Near Safeway And Restaurants Near The Ave,"47.664737, -122.316155",2,2014-11-10T14:44:33-0800,47.664737,4,98105
